"nomCru"	"country_label"	"subregion_label"	"area_label"	"label"	"millesime"	"volume"	"date_achat"	"prix"	"cote"	"quantite_courante"	"quantite_achat"	"garde_min"	"garde_max"	"garde_optimum"	"suggestion"	"comment"	"lieu_achat"	"canal_vente"
"Château Nenin"	"France"	"Bordeaux"	"Pomerol"	"rouge"	"1994"	"75 cl"	"2018-04-27"	"30.00"	"30.00"	"1"	"1"	"5"	"30"	"5"			"Ebay"	"Achat à un particulier"
"Château Pesquié Artemia"	"France"	"Vallée du Rhône"	"Côtes du Ventoux ou Ventoux"	"rouge"	"2013"	"75 cl"	"2015-08-29"	"7.90"	"7.90"	"6"	"6"	"2"	"5"	"2"			"Ventealapropriete.com"	"Achat sur Internet"
"Château Prieuré Lichine"	"France"	"Bordeaux"	"Margaux"	"rouge"	"1985"	"75 cl"	"2014-01-17"	"0.00"	"79.00"	"1"	"12"	"4"	"30"	"4"			"Cadeau papa"	"Cadeau"
"Château Prieuré Lichine"	"France"	"Bordeaux"	"Margaux"	"rouge"	"2010"	"75 cl"	"2014-09-13"	"45.90"	"45.90"	"5"	"6"	"4"	"25"	"4"			"carrefour"	"Grande surface"
"Château Rabaud Promis"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2007"	"75 cl"	"2016-01-17"	"0.00"	"0.00"	"1"	"1"	"5"	"30"	"5"			"Marie-Laure"	"Cadeau"
"Château Reverdi"	"France"	"Bordeaux"	"Listrac-Médoc"	"rouge"	"2009"	"75 cl"	"2013-12-27"	"0.00"	"0.00"	"1"	"1"	"5"	"15"	"5"			"Cadeau noel"	"Cadeau"
"Château Rouquette"	"France"	"Bordeaux"	"Sauternes"	"blanc liquoreux"	"2005"	"75 cl"	"2009-01-17"	"0.00"	"15.00"	"0"	"1"	"5"	"30"	"5"			"Anniversaire"	"Cadeau"
"Château Saint Georges"	"France"	"Bordeaux"	"Saint Georges Saint Emilion"	"rouge"	"2008"	"75 cl"	"2013-10-22"	"12.50"	"20.00"	"5"	"6"	"4"	"10"	"4"			"Euriware"	"En direct du producteur"
"Château Saint Georges"	"France"	"Bordeaux"	"Saint Georges Saint Emilion"	"rouge"	"2012"	"75 cl"	"2014-05-03"	"19.00"	"19.00"	"5"	"5"	"4"	"10"	"4"			"Euriware"	"Non défini"
"Château Smith Haut Lafitte"	"France"	"Bordeaux"	"Pessac-Léognan"	"rouge"	"2001"	"75 cl"	"2010-01-01"	"38.00"	"64.00"	"0"	"1"	"4"	"18"	"4"		"Note : 89. . Cote : 64? (12/2012). . http://www.wine-searcher.com/wine-50041-2001-chateau-smith-haut-lafitte-pessac-leognan-france"	"Leclerc"	"Grande surface"
